GCV,"s(as.numeric(month),bs='cc')",year,weekday,wd_avg,ws_avg,daily_downwind_ref,I(1/dist_wrp^2),I(1/dist_ref^2),"s(I(mon_utm_x/10^3), I(mon_utm_y/10^3), bs='tp', k = 10)","te(I(mon_utm_x/10^3), I(mon_utm_y/10^3), as.numeric(day), k=c(10,10),d=c(2,1),bs=c('tp','cc'))",monthly_oil_2km,monthly_gas_2km,active_2km,inactive_2km,daily_downwind_wrp,elevation,EVI,num_odor_complaints,I(1/dist_dc^2),closest_wrp_capacity,daily_temp,daily_hum,daily_precip
38772.910059515234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34905.32605888831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33389.25995427059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
32163.148513045806,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
32083.10458899783,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
32054.990975612756,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
32021.979883645046,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0
31989.492214144408,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0
31982.868153198382,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0
31981.175627635737,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0
31980.14853514016,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0
31979.53853795926,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0
31979.53837569416,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0
31979.538213565884,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0
